12	NaN	-Infinity
13	NaN	-Infinity
14	NaN	-Infinity
15	NaN	-Infinity
16	NaN	-Infinity
17	NaN	-Infinity
18	NaN	-Infinity
19	6.262352470494099	11.0
20	6.306461292258452	11.0
21	6.327665533106622	11.0
22	6.288457691538308	10.0
23	6.3529705941188235	11.0
24	6.392878575715143	10.0
25	6.412982596519304	10.0
26	6.423384676935387	10.0
27	6.445889177835567	11.0
28	6.759851970394079	11.0
29	6.7374474894978995	11.0
30	6.827065413082616	11.0
31	6.856871374274855	11.0
32	6.878275655131026	11.0
33	6.897679535907182	11.0
34	6.9121824364872975	11.0
35	6.93248649729946	11.0
